,model,equation,value
0,Glu_Growth_Glycolysis_C0,f6p_c,kf_FBP12*E_FBP1_c_f6p(t) + kf_FBP22*E_FBP2_c_f6p(t) - kf_PFK11*E_PFK1_c(t)*f6p_c(t) - kf_PFK11_84*E_PFK1_c_gdp(t)*f6p_c(t) - kf_PFK11_85*E_PFK1_c_gdp_gdp(t)*f6p_c(t) - kf_PFK11_86*E_PFK1_c_gdp_gdp_gdp(t)*f6p_c(t) - kf_PFK11_87*E_PFK1_c_gdp_gdp_gdp_gdp(t)*f6p_c(t) - kf_PFK21*E_PFK2_c(t)*f6p_c(t) + kf_PGI2*E_PGI_c_f6p(t) + kf_SK_f6p_c*(f6p_b - f6p_c(t)/Keq_SK_f6p_c) - kr_FBP12*E_FBP1_c(t)*f6p_c(t) - kr_FBP22*E_FBP2_c(t)*f6p_c(t) + kr_PFK11*E_PFK1_c_f6p(t) + kr_PFK11_84*E_PFK1_c_f6p_gdp(t) + kr_PFK11_85*E_PFK1_c_f6p_gdp_gdp(t) + kr_PFK11_86*E_PFK1_c_f6p_gdp_gdp_gdp(t) + kr_PFK11_87*E_PFK1_c_f6p_gdp_gdp_gdp_gdp(t) + kr_PFK21*E_PFK2_c_f6p(t) - kr_PGI2*E_PGI_c(t)*f6p_c(t)
1,Glu_Growth_Glycolysis_C0,E_ENO_c_2pg,kf_ENO1*E_ENO_c(t)*_2pg_c(t) - kf_ENO3*E_ENO_c_2pg(t) - kr_ENO1*E_ENO_c_2pg(t) + kr_ENO3*E_ENO_c_pep(t)
2,Glu_Growth_Glycolysis_C0,E_ENO_c,-kf_ENO1*E_ENO_c(t)*_2pg_c(t) + kf_ENO2*E_ENO_c_pep(t) + kr_ENO1*E_ENO_c_2pg(t) - kr_ENO2*E_ENO_c(t)*pep_c(t)
3,Glu_Growth_Glycolysis_C0,_3pg_c,kf_PGK4*E_PGK_c_3pg(t) + kf_PGK7*E_PGK_c_3pg_atp(t) - kf_PGMd1*E_PGMd_c(t)*_3pg_c(t) - kf_PGMi1*E_PGMi_c(t)*_3pg_c(t) - kf_SK__3pg_c*(_3pg_c(t) - _3pg_b/Keq_SK__3pg_c) - kr_PGK4*E_PGK_c(t)*_3pg_c(t) - kr_PGK7*E_PGK_c_atp(t)*_3pg_c(t) + kr_PGMd1*E_PGMd_c_3pg(t) + kr_PGMi1*E_PGMi_c_3pg(t)
4,Glu_Growth_Glycolysis_C0,E_PGMd_c_2pg,-kf_PGMd2*E_PGMd_c_2pg(t) + kf_PGMd3*E_PGMd_c_3pg(t) + kr_PGMd2*E_PGMd_c(t)*_2pg_c(t) - kr_PGMd3*E_PGMd_c_2pg(t)
5,Glu_Growth_Glycolysis_C0,E_PGMd_c_3pg,kf_PGMd1*E_PGMd_c(t)*_3pg_c(t) - kf_PGMd3*E_PGMd_c_3pg(t) - kr_PGMd1*E_PGMd_c_3pg(t) + kr_PGMd3*E_PGMd_c_2pg(t)
6,Glu_Growth_Glycolysis_C0,_2pg_c,-kf_ENO1*E_ENO_c(t)*_2pg_c(t) + kf_PGMd2*E_PGMd_c_2pg(t) + kf_PGMi2*E_PGMi_c_2pg(t) + kr_ENO1*E_ENO_c_2pg(t) - kr_PGMd2*E_PGMd_c(t)*_2pg_c(t) - kr_PGMi2*E_PGMi_c(t)*_2pg_c(t)
7,Glu_Growth_Glycolysis_C0,E_PGMd_c,-kf_PGMd1*E_PGMd_c(t)*_3pg_c(t) + kf_PGMd2*E_PGMd_c_2pg(t) + kr_PGMd1*E_PGMd_c_3pg(t) - kr_PGMd2*E_PGMd_c(t)*_2pg_c(t)
8,Glu_Growth_Glycolysis_C0,pep_c,kf_ENO2*E_ENO_c_pep(t) - 4*kf_PFK1_Inhibition_pep*E_PFK1_T_c(t)*pep_c(t) - 3*kf_PFK1_Inhibition_pep*E_PFK1_T_c_pep(t)*pep_c(t) - 2*kf_PFK1_Inhibition_pep*E_PFK1_T_c_pep_pep(t)*pep_c(t) - kf_PFK1_Inhibition_pep*E_PFK1_T_c_pep_pep_pep(t)*pep_c(t) + kf_PPS2*E_PPS_c_pep(t) - kf_PYK13*E_PYK1_c_adp(t)*pep_c(t) - kf_PYK23*E_PYK2_c_adp(t)*pep_c(t) - kf_SK_pep_c*(pep_c(t) - pep_b/Keq_SK_pep_c) - kr_ENO2*E_ENO_c(t)*pep_c(t) + kr_PFK1_Inhibition_pep*E_PFK1_T_c_pep(t) + 2*kr_PFK1_Inhibition_pep*E_PFK1_T_c_pep_pep(t) + 3*kr_PFK1_Inhibition_pep*E_PFK1_T_c_pep_pep_pep(t) + 4*kr_PFK1_Inhibition_pep*E_PFK1_T_c_pep_pep_pep_pep(t) - kr_PPS2*E_PPS_c(t)*pep_c(t) + kr_PYK13*E_PYK1_c_pep_adp(t) + kr_PYK23*E_PYK2_c_pep_adp(t)
9,Glu_Growth_Glycolysis_C0,E_PGMi_c_2pg,-kf_PGMi2*E_PGMi_c_2pg(t) + kf_PGMi3*E_PGMi_c_3pg(t) + kr_PGMi2*E_PGMi_c(t)*_2pg_c(t) - kr_PGMi3*E_PGMi_c_2pg(t)
